S11;S22;S33;S23;S13;S12;E11;E22;E33;E23;E13;E12;Ep11;Ep22;Ep33;Ep23;Ep13;Ep12;PEEQ;MISES;ux;uy;uz
 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 4.00000e-04; 0.00000e+00; 0.00000e+00
 1.30564e+01;-2.65338e-12;-2.75358e-12;-4.63726e-17;-1.90983e-16; 1.82868e-16; 9.99950e-05;-3.38815e-05;-3.48808e-05; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 1.30564e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 2.61115e+01;-3.70737e-12;-3.78675e-12;-6.82751e-16;-4.00343e-16;-1.32071e-16; 1.99980e-04;-6.77596e-05;-6.97580e-05; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 2.61115e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 3.91654e+01;-3.70731e-12;-3.78797e-12;-1.13881e-15;-8.53034e-16; 2.10806e-16; 2.99955e-04;-1.01634e-04;-1.04632e-04; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 3.91654e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 4.93455e+01;-7.43253e-03;-9.94371e-03;-2.60766e-03;-1.17597e-02;-1.05272e-02; 3.99920e-04;-1.38500e-04;-1.42335e-04; 8.69568e-09; 1.97614e-07; 1.52973e-07; 2.15702e-05;-1.08154e-05;-1.08156e-05; 3.70174e-08; 3.51346e-07; 2.89644e-07; 2.15921e-05; 4.93542e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 4.93551e+01;-2.39471e-05;-2.30949e-05; 1.30220e-02;-5.89056e-02;-2.41254e-02; 4.99875e-04;-1.88684e-04;-1.92602e-04; 1.40504e-07; 1.29933e-06; 1.03542e-06; 1.21498e-04;-6.10055e-05;-6.11132e-05; 8.19126e-09; 1.92966e-06; 1.31381e-06; 1.21713e-04; 4.93552e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 5.13945e+01;-1.86265e-09; 3.72529e-09; 2.53588e-02;-7.78600e-02;-2.96798e-02; 5.82252e-04;-2.27841e-04;-2.32076e-04; 8.67524e-08; 2.05682e-06; 1.57153e-06; 1.88256e-04;-9.48702e-05;-9.51394e-05;-1.72287e-07; 2.87855e-06; 1.90781e-06; 1.88853e-04; 5.13947e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 5.13948e+01; 1.86265e-08; 7.45058e-09; 5.60795e-02;-1.20476e-01;-4.56283e-02; 1.00057e-03;-4.39220e-04;-4.44481e-04;-9.06728e-08; 6.58667e-06; 4.98085e-06; 6.06575e-04;-3.06249e-04;-3.07543e-04;-6.65201e-07; 7.83565e-06; 5.48334e-06; 6.09016e-04; 5.13953e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 5.13948e+01; 0.00000e+00; 3.72529e-09; 5.78413e-02;-1.20580e-01;-5.11539e-02; 1.49995e-03;-6.89388e-04;-6.95966e-04;-1.43852e-07; 1.16688e-05; 9.26905e-06; 1.10595e-03;-5.56416e-04;-5.59029e-04;-7.36380e-07; 1.29109e-05; 9.82913e-06; 1.10916e-03; 5.13954e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 5.20686e+01; 0.00000e+00; 1.49012e-08; 5.93774e-02;-1.19658e-01;-5.10319e-02; 1.63255e-03;-7.53429e-04;-7.60540e-04;-2.50895e-07; 1.28668e-05; 1.03184e-05; 1.23251e-03;-6.19633e-04;-6.22654e-04;-8.83346e-07; 1.42362e-05; 1.09941e-05; 1.23582e-03; 5.20692e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 5.36978e+01;-1.86265e-09; 1.11759e-08; 6.80329e-02;-1.26091e-01;-5.30774e-02; 1.84975e-03;-8.59873e-04;-8.67856e-04;-5.08889e-07; 1.49248e-05; 1.21343e-05; 1.43723e-03;-7.21848e-04;-7.25617e-04;-1.22966e-06; 1.63546e-05; 1.28314e-05; 1.44070e-03; 5.36985e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 5.36979e+01; 0.00000e+00; 3.72529e-09; 8.53232e-02;-1.36935e-01;-5.57556e-02; 2.24932e-03;-1.05974e-03;-1.06960e-03;-1.54193e-06; 1.89637e-05; 1.56721e-05; 1.83680e-03;-9.21720e-04;-9.27366e-04;-2.43750e-06; 2.04922e-05; 1.63971e-05; 1.84097e-03; 5.36987e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
 5.45118e+01;-1.11759e-08; 7.45058e-09; 8.50671e-02;-1.34871e-01;-5.86548e-02; 2.65458e-03;-1.25995e-03;-1.27180e-03;-2.51288e-06; 2.28205e-05; 1.93806e-05; 2.23582e-03;-1.11981e-03;-1.12739e-03;-3.40255e-06; 2.43152e-05; 2.01358e-05; 2.23970e-03; 5.45126e+01; 4.00000e-04; 0.00000e+00; 0.00000e+00
